,id_a,distancia,split_number,bf
781,CC128562,1,4,xbf
782,CD19782,1,4,xbf
783,CD15975,1,4,xbf
784,CD20305,1,4,xbf
785,CD18385,1,4,xbf
786,CD24236,4,4,xbf
787,CE37711,1,4,xbf
788,CE37933,1,4,xbf
789,CE36835,1,4,xbf
790,CE48228,4,4,xbf
791,CE13756,1,4,xbf
792,CE18527,1,4,xbf
793,CE13083,1,4,xbf
794,CE27968,1,4,xbf
795,CE24997,1,4,xbf
796,CE17255,1,4,xbf
797,CE37605,1,4,xbf
798,CF2823,1,4,xbf
799,CG132476,4,4,xbf
800,CG132638,1,4,xbf
801,CG136380,1,4,xbf
802,CG134321,1,4,xbf
803,CG8215,1,4,xbf
804,CG9787,1,4,xbf
805,CG9823,1,4,xbf
806,CG130476,1,4,xbf
807,CG116958,4,4,xbf
808,CG169627,4,4,xbf
809,CG134332,4,4,xbf
810,CG19459,1,4,xbf
811,CG100262,1,4,xbf
812,AW142867,1,4,xbf
813,CG21670,1,4,xbf
814,CG22570,1,4,xbf
815,CG25529,1,4,xbf
816,AW180837,1,4,xbf
817,CG36661,1,4,xbf
818,DZ24616,1,4,xbf
819,CG76853,1,4,xbf
820,CG141280,1,4,xbf
821,CG94334,1,4,xbf
822,CG130273,1,4,xbf
823,CG104411,1,4,xbf
824,CG106664,1,4,xbf
825,CG107354,1,4,xbf
826,CG123184,1,4,xbf
827,CG169445,1,4,xbf
828,CG147105,1,4,xbf
829,AY25791,1,4,xbf
830,AL168688,1,4,xbf
831,CH45737,1,4,xbf
832,CH38225,1,4,xbf
833,CH31171,1,4,xbf
834,CH15870,1,4,xbf
835,CH46026,1,4,xbf
836,CH35913,1,4,xbf
837,CH4692,1,4,xbf
838,CJ150794,1,4,xbf
839,CJ118406,1,4,xbf
840,CJ132105,1,4,xbf
841,CJ26576,1,4,xbf
842,CJ59364,1,4,xbf
843,CJ18447,1,4,xbf
844,CJ53569,1,4,xbf
845,CJ40739,1,4,xbf
846,CJ55814,4,4,xbf
847,CJ22540,4,4,xbf
848,CJ18970,1,4,xbf
849,EH639228,4,4,xbf
850,CJ63398,1,4,xbf
851,CJ49152,1,4,xbf
852,CJ136359,1,4,xbf
853,CJ20671,1,4,xbf
854,CJ117700,4,4,xbf
855,CJ61990,1,4,xbf
856,CJ11512,1,4,xbf
857,CJ137183,1,4,xbf
858,CK13433,1,4,xbf
859,CK11821,1,4,xbf
860,CK13490,1,4,xbf
861,CL2047,1,4,xbf
862,CL32879,1,4,xbf
863,CL50586,1,4,xbf
864,CL45923,4,4,xbf
865,CL9729,1,4,xbf
866,CL44115,1,4,xbf
867,CL47307,1,4,xbf
868,CL6826,1,4,xbf
869,CL57607,1,4,xbf
870,CL52037,1,4,xbf
871,CM34540,1,4,xbf
872,CM58878,1,4,xbf
873,CM6544,1,4,xbf
874,CM15695,1,4,xbf
875,CM49458,1,4,xbf
876,CM68886,1,4,xbf
877,CM51187,1,4,xbf
878,CN67544,1,4,xbf
879,CN35099,1,4,xbf
880,CN6137,1,4,xbf
881,CN47457,4,4,xbf
882,CN69287,1,4,xbf
883,CN24988,1,4,xbf
884,CN49350,1,4,xbf
885,CN17113,1,4,xbf
886,CN54521,1,4,xbf
887,CN48946,1,4,xbf
888,CN65975,1,4,xbf
889,CN70564,1,4,xbf
890,CN40912,1,4,xbf
891,CN25231,1,4,xbf
892,CN82734,1,4,xbf
893,CN74608,1,4,xbf
894,CP39052,1,4,xbf
895,CP33011,1,4,xbf
896,CP31687,1,4,xbf
897,CP35664,1,4,xbf
898,CP20993,1,4,xbf
899,CP36922,1,4,xbf
900,CP22055,1,4,xbf
901,CP14845,1,4,xbf
902,CP26093,1,4,xbf
903,CP22665,1,4,xbf
904,CP27002,1,4,xbf
905,CR16687,1,4,xbf
906,CR6299,4,4,xbf
907,CR6384,1,4,xbf
908,CR15516,1,4,xbf
909,CR11084,1,4,xbf
910,CR28240,1,4,xbf
911,CS31921,1,4,xbf
912,CS19366,1,4,xbf
913,CS18371,1,4,xbf
914,CS21750,1,4,xbf
915,CS30437,1,4,xbf
916,CS19040,4,4,xbf
917,CS31441,1,4,xbf
918,CT46492,1,4,xbf
919,CT45609,1,4,xbf
920,CT17332,1,4,xbf
921,CT35547,1,4,xbf
922,CT48102,1,4,xbf
923,CT37494,1,4,xbf
924,CT39086,1,4,xbf
925,CT38528,1,4,xbf
